<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.08.25	00:00:00	0.6171	0.6171	0.6160	0.6161	26	0	80
2024.08.25	00:01:00	0.6162	0.6162	0.6146	0.6146	22	0	80
2024.08.25	00:02:00	0.6147	0.6150	0.6139	0.6140	19	0	80
2024.08.25	00:03:00	0.6140	0.6140	0.6136	0.6136	15	0	81
2024.08.25	00:04:00	0.6136	0.6138	0.6132	0.6132	11	0	80
2024.08.25	00:05:00	0.6130	0.6130	0.6119	0.6120	24	0	79
2024.08.25	00:06:00	0.6119	0.6119	0.6110	0.6116	27	0	79
2024.08.25	00:07:00	0.6115	0.6115	0.6110	0.6110	6	0	81
2024.08.25	00:08:00	0.6112	0.6113	0.6101	0.6104	22	0	80
2024.08.25	00:09:00	0.6104	0.6118	0.6104	0.6116	22	0	80
2024.08.25	00:10:00	0.6117	0.6117	0.6102	0.6102	23	0	80
2024.08.25	00:11:00	0.6102	0.6106	0.6091	0.6094	23	0	80
2024.08.25	00:12:00	0.6096	0.6107	0.6095	0.6107	20	0	79
2024.08.25	00:13:00	0.6106	0.6112	0.6106	0.6111	19	0	80
2024.08.25	00:14:00	0.6111	0.6112	0.6106	0.6112	22	0	80
2024.08.25	00:15:00	0.6112	0.6118	0.6110	0.6118	14	0	80
2024.08.25	00:16:00	0.6118	0.6133	0.6118	0.6133	24	0	81
2024.08.25	00:17:00	0.6132	0.6141	0.6132	0.6138	21	0	80
2024.08.25	00:18:00	0.6140	0.6140	0.6123	0.6123	17	0	79
2024.08.25	00:19:00	0.6123	0.6126	0.6120	0.6125	14	0	80
2024.08.25	00:20:00	0.6126	0.6126	0.6120	0.6125	12	0	80
2024.08.25	00:21:00	0.6125	0.6128	0.6122	0.6125	9	0	80
2024.08.25	00:22:00	0.6125	0.6125	0.6110	0.6114	19	0	81
2024.08.25	00:23:00	0.6114	0.6115	0.6110	0.6115	12	0	80
2024.08.25	00:24:00	0.6115	0.6115	0.6107	0.6107	14	0	81
2024.08.25	00:25:00	0.6107	0.6109	0.6092	0.6092	21	0	80
2024.08.25	00:26:00	0.6094	0.6100	0.6083	0.6083	22	0	79
2024.08.25	00:27:00	0.6081	0.6085	0.6076	0.6083	20	0	80
2024.08.25	00:28:00	0.6084	0.6093	0.6081	0.6093	19	0	80
2024.08.25	00:29:00	0.6090	0.6091	0.6085	0.6086	19	0	80
2024.08.25	00:30:00	0.6085	0.6085	0.6071	0.6075	30	0	81
2024.08.25	00:31:00	0.6075	0.6086	0.6066	0.6086	24	0	80
2024.08.25	00:32:00	0.6086	0.6086	0.6078	0.6079	12	0	80
2024.08.25	00:33:00	0.6081	0.6094	0.6080	0.6090	21	0	79
2024.08.25	00:34:00	0.6090	0.6090	0.6082	0.6089	17	0	80
2024.08.25	00:35:00	0.6089	0.6089	0.6072	0.6074	28	0	80
2024.08.25	00:36:00	0.6074	0.6074	0.6043	0.6044	24	0	80
2024.08.25	00:37:00	0.6044	0.6058	0.6035	0.6056	27	0	80
2024.08.25	00:38:00	0.6056	0.6063	0.6056	0.6062	9	0	80
2024.08.25	00:39:00	0.6061	0.6068	0.6061	0.6068	8	0	80
2024.08.25	00:40:00	0.6069	0.6070	0.6056	0.6057	19	0	80
2024.08.25	00:41:00	0.6056	0.6066	0.6056	0.6066	10	0	81
2024.08.25	00:42:00	0.6066	0.6075	0.6066	0.6075	8	0	80
2024.08.25	00:43:00	0.6075	0.6079	0.6075	0.6079	7	0	80
2024.08.25	00:44:00	0.6080	0.6081	0.6077	0.6078	13	0	81
2024.08.25	00:45:00	0.6078	0.6078	0.6054	0.6054	29	0	81
2024.08.25	00:46:00	0.6055	0.6069	0.6054	0.6068	13	0	81
2024.08.25	00:47:00	0.6068	0.6072	0.6068	0.6072	5	0	80
2024.08.25	00:48:00	0.6072	0.6077	0.6072	0.6076	11	0	81
2024.08.25	00:49:00	0.6076	0.6077	0.6076	0.6077	2	0	81
2024.08.25	00:50:00	0.6077	0.6077	0.6064	0.6064	15	0	79
2024.08.25	00:51:00	0.6064	0.6066	0.6059	0.6063	7	0	81
2024.08.25	00:52:00	0.6063	0.6068	0.6063	0.6067	11	0	80
2024.08.25	00:53:00	0.6067	0.6068	0.6067	0.6067	9	0	80
2024.08.25	00:54:00	0.6067	0.6067	0.6051	0.6051	18	0	79
2024.08.25	00:55:00	0.6051	0.6057	0.6038	0.6042	23	0	80
2024.08.25	00:56:00	0.6042	0.6052	0.6042	0.6052	12	0	80
2024.08.25	00:57:00	0.6052	0.6052	0.6041	0.6046	17	0	79
2024.08.25	00:58:00	0.6046	0.6046	0.6011	0.6020	25	0	79
2024.08.25	00:59:00	0.6020	0.6043	0.6020	0.6037	23	0	80
2024.08.25	01:00:00	0.6037	0.6056	0.6034	0.6055	19	0	79
2024.08.25	01:01:00	0.6052	0.6060	0.6050	0.6056	29	0	79
2024.08.25	01:02:00	0.6056	0.6060	0.6053	0.6060	33	0	80
2024.08.25	01:03:00	0.6060	0.6062	0.6054	0.6054	28	0	79
2024.08.25	01:04:00	0.6054	0.6058	0.6051	0.6053	26	0	80
2024.08.25	01:05:00	0.6055	0.6061	0.6050	0.6059	23	0	79
2024.08.25	01:06:00	0.6060	0.6060	0.6044	0.6049	28	0	79
2024.08.25	01:07:00	0.6050	0.6053	0.6048	0.6053	25	0	79
2024.08.25	01:08:00	0.6053	0.6056	0.6047	0.6047	25	0	80
2024.08.25	01:09:00	0.6047	0.6050	0.6037	0.6039	15	0	80
2024.08.25	01:10:00	0.6039	0.6046	0.6038	0.6043	15	0	80
2024.08.25	01:11:00	0.6043	0.6045	0.6040	0.6040	18	0	79
2024.08.25	01:12:00	0.6040	0.6044	0.6036	0.6036	23	0	80
2024.08.25	01:13:00	0.6035	0.6041	0.6031	0.6041	22	0	80
2024.08.25	01:14:00	0.6041	0.6042	0.6035	0.6035	16	0	80
2024.08.25	01:15:00	0.6035	0.6036	0.6030	0.6030	14	0	80
2024.08.25	01:16:00	0.6030	0.6048	0.6030	0.6045	21	0	80
2024.08.25	01:17:00	0.6047	0.6053	0.6043	0.6046	34	0	80
2024.08.25	01:18:00	0.6045	0.6054	0.6045	0.6050	18	0	79
2024.08.25	01:19:00	0.6050	0.6054	0.6050	0.6053	15	0	79
2024.08.25	01:20:00	0.6053	0.6059	0.6053	0.6054	19	0	80
2024.08.25	01:21:00	0.6053	0.6057	0.6052	0.6054	13	0	80
2024.08.25	01:22:00	0.6056	0.6059	0.6054	0.6055	15	0	80
2024.08.25	01:23:00	0.6055	0.6058	0.6052	0.6052	13	0	80
2024.08.25	01:24:00	0.6051	0.6051	0.6045	0.6049	23	0	80
2024.08.25	01:25:00	0.6049	0.6051	0.6046	0.6046	23	0	80
2024.08.25	01:26:00	0.6046	0.6049	0.6042	0.6042	19	0	80
2024.08.25	01:27:00	0.6042	0.6042	0.6035	0.6040	22	0	79
2024.08.25	01:28:00	0.6040	0.6042	0.6036	0.6036	22	0	80
2024.08.25	01:29:00	0.6036	0.6041	0.6036	0.6040	14	0	80
2024.08.25	01:30:00	0.6040	0.6046	0.6039	0.6041	16	0	80
2024.08.25	01:31:00	0.6042	0.6046	0.6039	0.6040	20	0	80
2024.08.25	01:32:00	0.6040	0.6045	0.6040	0.6042	14	0	80
2024.08.25	01:33:00	0.6041	0.6051	0.6040	0.6051	14	0	80
2024.08.25	01:34:00	0.6051	0.6053	0.6049	0.6049	12	0	80
2024.08.25	01:35:00	0.6049	0.6059	0.6049	0.6057	15	0	79
2024.08.25	01:36:00	0.6057	0.6058	0.6053	0.6055	18	0	80
2024.08.25	01:37:00	0.6055	0.6061	0.6055	0.6058	15	0	80
2024.08.25	01:38:00	0.6058	0.6065	0.6056	0.6062	19	0	80
2024.08.25	01:39:00	0.6062	0.6066	0.6061	0.6061	8	0	79
2024.08.25	01:40:00	0.6062	0.6064	0.6061	0.6063	5	0	79
2024.08.25	01:41:00	0.6063	0.6067	0.6063	0.6066	4	0	79
2024.08.25	01:42:00	0.6066	0.6069	0.6065	0.6067	9	0	80
2024.08.25	01:43:00	0.6067	0.6071	0.6067	0.6071	8	0	79
2024.08.25	01:44:00	0.6071	0.6074	0.6070	0.6072	12	0	80
2024.08.25	01:45:00	0.6072	0.6073	0.6068	0.6070	12	0	79
2024.08.25	01:46:00	0.6070	0.6070	0.6066	0.6068	10	0	79
2024.08.25	01:47:00	0.6068	0.6068	0.6066	0.6066	5	0	80
2024.08.25	01:48:00	0.6066	0.6068	0.6062	0.6068	11	0	80
2024.08.25	01:49:00	0.6068	0.6068	0.6064	0.6066	5	0	80
2024.08.25	01:50:00	0.6064	0.6065	0.6057	0.6060	16	0	80
2024.08.25	01:51:00	0.6059	0.6059	0.6054	0.6056	26	0	79
2024.08.25	01:52:00	0.6056	0.6056	0.6052	0.6053	17	0	80
2024.08.25	01:53:00	0.6055	0.6056	0.6051	0.6052	12	0	79
2024.08.25	01:54:00	0.6051	0.6059	0.6051	0.6055	8	0	80
2024.08.25	01:55:00	0.6055	0.6056	0.6051	0.6055	14	0	80
2024.08.25	01:56:00	0.6055	0.6055	0.6054	0.6054	4	0	80
2024.08.25	01:57:00	0.6054	0.6056	0.6051	0.6051	12	0	80
2024.08.25	01:58:00	0.6051	0.6057	0.6051	0.6057	5	0	80
2024.08.25	01:59:00	0.6057	0.6058	0.6053	0.6053	5	0	79
2024.08.25	02:00:00	0.6053	0.6060	0.6053	0.6058	12	0	80
2024.08.25	02:01:00	0.6059	0.6059	0.6053	0.6057	11	0	80
2024.08.25	02:02:00	0.6057	0.6064	0.6057	0.6063	8	0	79
2024.08.25	02:03:00	0.6063	0.6063	0.6061	0.6061	6	0	79
2024.08.25	02:04:00	0.6061	0.6064	0.6061	0.6063	9	0	80
2024.08.25	02:05:00	0.6063	0.6067	0.6063	0.6065	11	0	80
2024.08.25	02:06:00	0.6065	0.6067	0.6063	0.6066	10	0	80
2024.08.25	02:07:00	0.6066	0.6068	0.6066	0.6066	7	0	80
2024.08.25	02:08:00	0.6066	0.6070	0.6066	0.6068	7	0	80
2024.08.25	02:09:00	0.6068	0.6071	0.6068	0.6071	6	0	81
2024.08.25	02:10:00	0.6072	0.6074	0.6070	0.6074	8	0	80
2024.08.25	02:11:00	0.6074	0.6074	0.6071	0.6074	12	0	80
2024.08.25	02:12:00	0.6074	0.6074	0.6071	0.6071	9	0	80
2024.08.25	02:13:00	0.6071	0.6073	0.6070	0.6072	4	0	80
2024.08.25	02:14:00	0.6072	0.6074	0.6070	0.6073	8	0	80
2024.08.25	02:15:00	0.6072	0.6075	0.6070	0.6070	9	0	80
2024.08.25	02:16:00	0.6070	0.6075	0.6070	0.6072	9	0	80
2024.08.25	02:17:00	0.6072	0.6077	0.6071	0.6076	7	0	79
2024.08.25	02:18:00	0.6076	0.6077	0.6075	0.6076	6	0	80
2024.08.25	02:19:00	0.6077	0.6077	0.6075	0.6075	9	0	80
2024.08.25	02:20:00	0.6075	0.6075	0.6073	0.6073	3	0	80
2024.08.25	02:21:00	0.6073	0.6075	0.6072	0.6072	7	0	80
2024.08.25	02:22:00	0.6071	0.6074	0.6070	0.6073	9	0	80
2024.08.25	02:23:00	0.6073	0.6078	0.6073	0.6075	6	0	80
2024.08.25	02:24:00	0.6075	0.6076	0.6074	0.6075	6	0	80
2024.08.25	02:25:00	0.6075	0.6076	0.6073	0.6076	6	0	80
2024.08.25	02:26:00	0.6076	0.6076	0.6071	0.6074	10	0	80
2024.08.25	02:27:00	0.6074	0.6076	0.6073	0.6074	9	0	80
2024.08.25	02:28:00	0.6074	0.6077	0.6074	0.6075	5	0	80
2024.08.25	02:29:00	0.6075	0.6079	0.6075	0.6077	9	0	80
